text,target,stance
"And yet not a single writer in this series notes a fundamental irony: Despite the declining number of young men and women who express interest in attending a single-sex college, thousands of these same women and men every year enter co-educational institutions, then immediately set about segregating themselves: from men- and women-only dorms to sports teams to fraternities and sororities. Let's not fool ourselves. The experience of higher education in this country is profoundly gendered, no matter how much some of these contributors would like us to believe otherwise.",segregation in co-ed schools,FAVOR
With the Fox/Disney merger not taking effect for a year....everything production next year is safe people. After mmmmm not so much,merger of disney and fox,AGAINST
"Cuomo argument falls a part because we knew elderly at risk. Look at Northern Italy 30 days before US lockdown. Further, Germany locked down elderly. State health directive March 25 evidence.. Cuomo blames Trump for nursing home deaths in New York. https://t.co/jPSwQaKqkf",lockdown in new york state,FAVOR
" Yes, if what you are saying is true, then I'm for it.   / But evolution has been a bag-full of lies from the beginning anyways.",creationism,FAVOR
hell no gays should never be allowed to adopt a child the very ill behaved people they ruin things in this country let them go to eurpoe and live the choose there life style is real sick a guy on top of guy a discussing thing same as a woman kissing a woman is sick and noway way should a child be brought into that situation.,gay rights,AGAINST
@dickfundy @bwintexas @RealGunnarJames @Edgar_usmc And don't even get me started on what Disney would do to Fox Seaâ¦ https://t.co/AeC0ZrdGjj,merger of disney and fox,NONE
Other ways to heal: when you canât tell your #MeTooÂ story https://t.co/P88wKOwfdn https://t.co/fYfJC17Y24,metoo movement,AGAINST
"Necessity is the mother of all invention. Never bet against human ingenuity, especially when survival is on the line. The technology we need to move beyond fossil fuels exist today - wind, solar, efficiency improvements like LED lighting, and especially nuclear power. I can't imagine what technology we will have in 50 years - carbon sequestration, fusion reactors, space elevators, orbital solar platforms - there is no point even guessing, but I am very sure technology continues to outpace population growth, and we continue to solve problems faster than we create them. We might be slow on global warming, but science and engineering are key to survival. As Issac Asimov said, ""I chose solution, I chose technology""",technology,AGAINST
@smartahole @DC_Draino I didn't say I do support him. He should enforce the laws to protect us in this case. I didn't say anything about the lockdown. I'm not afraid. I see that what we're doing in NY is working. Gatherings and things like this could cause setbacks.,lockdown in new york state,FAVOR
"Civil unions are a more politically feasible goal than gay marriage 
",gay rights,AGAINST
"This thread has been kept going by three people who have voted no to the question of a six day creation. AIG has tried to defend Genesis using the weakest possible argument, and then left. They didn't even hang around to defend their position. ",creationism,AGAINST
"There seem to be deficits of wisdom and historical awareness with the drone program as well as with other weapons programs. Any new weapon can be ultimately used against its developer: tanks against the British, SAMs against the US. Atomic and nuclear bombs have done the opposite of making the US more secure. What will our security be like when drones are very numerous, when they can be controlled by mobile phones, and when we have made so many enemies?",security,AGAINST
"I am so confused by this issue I can hardly articulate an argument. If they're here illegally, what purpose will ID serve? If they're here illegally, how can they open bank accounts? If they're here illegally, why are we making it EASIER for them to live here? why don't we just grant them asylum, and give them citizenship already?",all immigrants,AGAINST
"""Peonies"", Poetry from my book, ""The Gulls Are Always Laughing"" available now. #poetry #domesticviolence #traumasurvivors #metoo #strength #books  #readtherainbow #bookworm #bookwormforlife https://t.co/4yxWhfPGjy https://t.co/rYNxN7nTea",metoo movement,FAVOR
ugh someone just asked me what disney scene made me cry the most and I can't decide between The Fox and the Hound wâ¦ https://t.co/FV7z9dILY7,merger of disney and fox,NONE
"And what happens if this wondrous one state is not the earthly democratic paradise that the blogger and some posters promise, that 60 years of bitter strife over land, religion, history etc insures that the Arab side, when in the majority, decides to exact revenge for all past wrongs real and imagined? The Jews would be lucky to get out alive, as witness the murderous strife in Egypt between Muslim factions. I suppose if that happens the blogger will write another article saying ""gosh, I really feel bad about this, but it seemed a good idea at the time"". As much as I have posted here about the evil of the settlements and the despicable ""land before peace"" attitude of the Likud, I would say that the Israelis would have to have a death wish, certainly for their state and likely also for themselves, to ever accede to this exercise in sheer Pollyannaish propaganda. Two states is the way to go, and to effect this outcome, the US government has to stop treating Likud with kid gloves.",hamas-fatah unity,FAVOR
"""...wait some period of time to ensure that the felon has actually turned over a new leaf."" The release from prison after having met all the criteria for the sentence affirms their debt to society has been met, but you want to impose more? Pray tell, how does one satisfy the ""new leaf"" criteria? How long does it take? All Mr. Clegg's position does is try to justify a limitation on earned freedom. Our Founding Fathers would find that unconscionable.",felon,FAVOR
"I am 40 years past middle school and am taking an online course in medical terminology. If I had to too much coursework this way, shoot me! I do a lot of repetitive exercises and am the mercy of the computer when it comes to grading. Computers often have one answer they're set up to screen for--forget possible alternatives. If I have a question, I have to email and wait for an answer. Plus, I get bored sitting in front of a screen. Then again, I'm not from the generation who willingly sits for hours playing video games. Give me a human teacher anytime!",online courses,AGAINST
"Society is not responsible to treat addicts and cure them just as society shold not be responsible to train felons, supply welfare, cure gambling addicts, cure pedophiles nor a host of other diseases. Society has to focus on the good people who want to succeed and help instead of diverting money to losers. College kids need relief, little kids need food and shelter, drug addict deserve nothing sick kids need drugs and help, no kid should be hungry in this country or uneducated. Lets focus on people instead of felons, illegal aliens, addicts and worthless sifters. Lets concentrate on the truly mentally ill wandering our streets and incarcerated for a disease they have no control over and on our war vets. The socialism of felony has to stop. It is a waste of billions of dollars going into doctors, lawyers and other's coffers.",drug addicts,AGAINST
COMCAST willing to outbid Disney for Fox... could the deal between Disney and Fox be over?  https://t.co/1vmTlRZarV via @slashfilm,merger of disney and fox,AGAINST
"Christians have preached hatred for the LGBT community for the 70  years I have been alive. Most Christian churches and leaders are anti-Christ teaching hate, prosperity gospel, pro capital punishment and war. The last Christian was hung on a cross. WWJD? He would be working in prisons, helping the homeless, caring for addicts, and giving love and acceptance to LGBT people. He was a liberal.",a harmful atmosphere for gays,AGAINST
It is so recent that we cant even call it history. Hasn't the west already learnt from the removal of Saddam Hussein and Muammar Gaddafi from Iraq and Libya respectively and what it has done to those countries? The USA is responsible for the creation of ISIS in a passive way as it is also friends with Saudi Arabia. The removal of Assad govt will lead to a stronger ISIS and a bigger problem in middle east. The removal of the Assad govt is being sought mainly because of Israel while it bombs the hell out of Gaza killing thousands of people. Working with the Assad govt is a smart thing to do. Don't fix it if it ain't broke.,isis,AGAINST
"Iran is entirely unaware of the fact that it has no tangible quarrel with Israel. Iran is not interested in helping the Palestinians. Iranians don't like Arabs. Iran's leaders hate Sunnis. Palestinians are both Arabs and Sunnis. Iran used to have a friendly and productive relationship with Israel. It makes nos sense that this friendship has ended. The most intense and dangerous of all hatreds are those that make no sense. If Iran's mullahs understood that it makes no sense for them to oppose Israel's existence, they could turn Iran into a secure and prosperous country at once.",israel,AGAINST
"Force millions upon millions of people who do not care enough to vote, let alone educate themselves on the issues, to show up and vote? Brilliant. An even wiser plan would be to simply select our President by lotto. Is the sarcasm palpable?",voting,FAVOR
