Original Text,Predicted Target,Predicted Stance,Ground Truth Target,Ground Truth Stance,Target Match Pct,Stance Match Pct
". WhiteHouse has appealed a Trump-appointed judge's obstruction of CDCgov 's transportation mask mandate, but without an emergency stay, millions of lives remain in danger as we work our way through the courts. Demand action NOW with MarkedByCovid : actionnetwork.org Tell the White House: We need Covid-safe Transit People rely on public transportation to get to health care, work, school and other daily essential activities but a Trump-appointed judge struck down the CDC s mask transportation mandate. This...",CDCgov,FAVOR,Trump-appointed judge,AGAINST,0,0
"if you hate the Fire Island movie then, ok, why do you hate Asian people and gay people at the same time? unpack that.",Fire Island movie,AGAINST,Asian people and gay people,FAVOR,20,0
Me making my NFL debut in week 78 after the entire receiving core is hospitalized nate gh0stsarentreal Jul 30 The NFL needs a 82 game season man,Star Wars,AGAINST,The NFL,FAVOR,0,0
"On June 13, 1611, Smolensk fell to the Poles after the Russians defended it for 20 months. This occurred during the 1598-1613 Time of Troubles when Poland took advantage of Russia's weakness by engaging in regime change and military campaigns such as the occupation of Moscow.",Smolensk,AGAINST,Smolensk,NONE,100,0
"Fgs stop calling Cummings a mad genius. He's just mad. The higher echelons of the civil service are as hidebound by private education as the Tory party, law and the BBC. Cummings is one of them, just more arrogant and a bit contrary.. Weed out establishment cabals. wato",Cummings,AGAINST,Cummings,AGAINST,100,100
"ariana fans telling Black and Indigenous people to go k ll themselves for standing up against her anti Indigenous racist ass, are FUCKED. y'all are too comfortable defending racism and it shows.",anti Indigenous racist ass,AGAINST,Anti Indigenous Racist,AGAINST,90,100
"Locals in Wicklow Ireland last night fighting with recently moved in migrants over allegations they have been harassing local women 1,059 2,574 7,043",migrants,AGAINST,Locals in Wicklow,FAVOR,20,0
"Graphic from the recentish archive. As of 2018 the US only had meaningful forces in Japan, Germany, Korea and Afghanistan. Afgh is now closed down, and the rest of the MidEast is close behind. Germany is next basing there largely exists to serve MidEast deployments .",Germany,AGAINST,the US forces,NONE,0,0
"Does Russia have any similar decoy-launchers to Rheinmetall's MASS or any other modern western decoy launching systems with modern decoys? China has some pretty neat solutions of their own, but I'm not sure what Russian ships have.",Rheinmetall's MASS,AGAINST,modern western decoy launching systems ,FAVOR,20,0
"The 5 anti-Constitutionalist RINOs who voted for the inane House gun control bill: Anthony Gonzalez, Ohio Fred Upton, Michigan Brian Fitzpatrick, PA Adam Kinzinger, Illinois Chris Jacobs, New York",anti-Constitutionalist RINOs,AGAINST,inane House gun control bill,AGAINST,0,100
"Thank you, Brandon Beane, Sean McDermott, and the entire Bills organization, for having the guts and courage to do what so many other NFL teams wouldn t do. 154 344 3,460",electric cars,FAVOR,Bills Organization,FAVOR,0,100
This!!! and the only reason they hiked the prices up 4 was so the CEO didn t have to take a pay cut.,the CEO,AGAINST,pay cut,NONE,0,0
